1,1,24920,1,0,0,0,0,0,8,1
89,0,0,0,0,255,0,1,8,8,0
90,1,1,1,0,1,0,1,8,8,0
91,1,1,1,0,1,0,1,8,8,0
92,1,1,1,0,1,0,1,8,8,0
93,1,1,1,0,1,0,1,8,8,0
94,1,1,1,0,1,0,1,8,8,0
95,1,1,1,0,1,0,1,8,8,0
96,1,1,1,0,1,0,1,8,8,0
97,1,1,1,0,1,0,1,8,8,0
98,1,1,1,0,1,0,1,8,8,0
99,1,1,1,0,1,0,1,8,8,0
104,1,1,1,0,999999,0,1,5,5,0
105,22,22,22,0,999999,0,1,5,5,0
106,333,333,333,0,999999,0,1,5,5,0
107,4440,4440,4440,0,999999,0,1,5,5,0
108,5551,5551,5551,0,999999,0,1,5,5,0
109,612345,612345,612345,0,999999,0,1,8,8,0
110,754321,754321,754321,0,999999,0,1,8,8,0
111,801234,801234,801234,0,999999,0,1,8,8,0
1490,0,0,0,0,1,0,1,8,8,0
1491,0,0,0,0,1,0,1,8,8,0
1492,0,0,0,0,1,0,1,8,8,0
1493,0,0,0,0,1,0,1,8,8,0
1494,0,0,0,0,1,0,1,8,8,0
1495,0,0,0,0,1,0,1,8,8,0
1496,0,0,0,0,1,0,1,8,8,0
1497,0,0,0,0,1,0,1,8,8,0
1498,0,0,0,0,1,0,1,8,8,0
1499,0,0,0,0,1,0,1,8,8,0
1500,0,0,0,0,0,0,1,4,4,1
